,empresa,resolucao,data_reclamacao,cidade,estado,reclamacao,resposta,dias_depois_resposta,nota,avaliacao
0,Airbnb,Não Resolvido,"09/12/2022,",Taubaté,SP,"Entre os dia 03 e 05 de dezembro de 2022 eu me hospedei em um apartamento que foi ofertado pelo aplicativo Airbnb. Infelizmente ao chegar ao apartamento minha esposa e eu, de imediato, observamos que um controle possivelmente de TV estava quebrado sobre o rack, sem a capa da parte traseira, onde ficam as pilhas. Tentamos ligar a TV e também o aparelho de canais (que é separado), e ambos não funcionaram. Eu entrei em contato rapidamente com o proprietário do imóvel, informei o problema e depois de horas ele começou a insistir que os controles estavam dentro do imóvel e tudo estava funcionando. Necessitei gravar vídeos e enviar fotos pelo whats para provar que a TV e o aparelho de canais não estavam funcionando. Perdemos horas tentando resolver o problema, sem sucesso. No dia seguinte, um técnico foi até o imóvel e também tentou, sem sucesso, por mais de 2 horas, resolver o problema. Foram 3 dias que a TV simplesmente não funcionou. E estamos em plena Copa do Mundo, ou seja, minha esposa e eu, que procuramos um espaço confortável para passar alguns dias, tivemos foi, na verdade, muita dor de cabeça. Não bastasse o problema com a TV e o aparelho de canais, no primeiro dia realizamos a compra de alguns produtos e colocamos na geladeira. No dia seguinte, os produtos estavam com temperatura ambiente, não estavam refrigerados. Os líquidos sequem conseguimos beber. Então observei que o potenciômetro da geladeira estava no “médio”. Alterei para o “máximo” e aguardamos mais uma noite. Porém já no terceiro dia, a geladeira estava a mesma coisa, ou seja, sem gelar absolutamente nada.    Forma péssimos 3 dias, em um apartamento muito diferente do que estava anunciado. Por esta razão, procuramos o serviço de atendimento da Airbnb, informando sobre os problemas encontramos. Por incrível que pareça, o atendimento me pediu fotos da geladeira onde poderia ser comprovado que ela não gelaria. Eu acho que o atendimento só pode estar de brincadeira. Não bastasse isso, eu recebi uma ligação do atendimento da Airbnb, onde uma atendente muito mal preparada, sem ler sequer minha reclamação, informou que o Airbnb não é responsável pelos imóveis que são alugados e que o proprietário e o usuário deveriam entrar em um acordo para resolver o problema. Eu não concordei com o que me foi falado e a atendente então disse que faria um reembolso de R$ 100,00 para manter um bom relacionamento. Eu informo que não tenho e nem quero qualquer relacionamento com uma empresa mal educada, despreparada e que não respeita o código de defesa do consumidor. Por esta razão, solicito o reembolso total do valor pago pela estadia (R$592,17). Informo, ainda, que caso minha solicitação não seja atendida, ingressarei com uma ação judicial contra a Airbnb, já que possuo a gravação da ligação e os prints de todas as conversas que eu tive com o proprietário, informando os problemas e que se mantiveram sem solução.","Caro consumidor,    Obrigado por entrar em contato conosco. Sentimos muito por saber que sua viagem não foi como você esperava! Conforme vemos no caso do atendimento, o anfitrião realizou um reembolso parcial pelos problemas apresentados. Como você ficou no apartamento durante a estadia, o reembolso completo não é possível.    Esperamos que as próximas reservas saiam melhor que planejado!    Atenciosamente,    Equipe do Airbnb",0, 1,"O Airbnb se negou a efetuar o reembolso pelos problemas apresentados. Como não houve acordo, solicitarei indenização por danos morais judicialmente."
1,Latam Airlines (Tam),Resolvido,"09/12/2022,",Brasília,DF,"Realizei a compra da passagem BSB-JDO-BSB em 6.12.2022 e tentei exercer o meu direito potestativo de desistência do contrato de compra em 8.12.2022 (art. 49 do CDC), uma vez que este foi celebrado fora do estabelecimento comercial dessa empresa. Tanto em consulta ao ""website"", quanto durante o atendimento do Contact Center da LATAM (ligação ao número XXXXX-X700, por volta das 17h03, do dia 8.12.2022), fui informado que somente seria reembolsado em meu cartão de crédito o valor das taxas aeroportuárias.     Tentei, ainda, argumentar com a atendente que Contact Center que o exercício do meu direito potestativo foi motivado por minha convocação, em 8.12.2022 (apenas 2 dias após a compra do bilhete), para as provas discursivas do certame para Juiz Substituto do Tribunal de Justiça do Estado de Pernambuco (cf. doc. anexo, fls. 1 - itens 1.1, 1.2 e 1.3; e fls. 15), nas mesmas datas em que estaria em viagem a Juazeiro do Norte (destino final da reserva). Mesmo diante disso, a posição da empresa se manteve a mesma, ou seja, de desprezo ao comando legal do art. 49 do CDC.","Prezado(a) Cliente,    Informamos que providenciamos os devidos esclarecimentos sobre a sua solicitação. Para mais informações, acesse a resposta na interação anterior.    Atenciosamente,    Atendimento ao Cliente  LATAM Airlines    ###N;I;W;D;P;1400/5105###",0, 4,"Não ofereceram reembolso (como determina o art. 49 do CDC), mas crédito. Aceitei pra não alongar."
2,Drogaria São Paulo,Resolvido,"08/12/2022,",São Paulo,SP,"Fiz uma compra no dia 04 de Dezembro pedido nº 18572075  Nesse pedido tinham  3 medicamentos que foram entregues no dia 05 de Dezembro.  Os demais intens não foram entregues  são : Pasta de dente, condicionador seda , shampoo seda, sabonete liquido litro, sabonete liquido refil, sabonete em barra, shampoo jonhson, lenço de papel.  As quantidades e as especificações estão no pedido. Os produtos não entreguem dão um total de R$.166,08.  Já tentei vários contatos mas sem resultado nenhum . Não respondem nada  SE EU OU QUALQUER PESSOA ENTRAR NO ESTABELECIMENTO E RETIRAR SEM PAGAR ESSE PRODUTOS SERÁ PROCESSADO POR ROUBO, AGORA O CONTRÁRIO PODE A EMPRESA NÃO TOMAR CONHECIMENTO DE QUE JÁ RECEBEU POR ISSO E NÃO ENTREGA A COMPRA.    O QUE SÃO VOCÊS , QUE RESPEITO TEM PELO CLIENTE......NENHUM    ACABO DE RECEBER UM EMAIL DESSA BELA EMPRESA COM A SEGUINTE INFORMAÇÃO:  conforme o nosso contato telefônico, todas as informações referente ao seu atendimento já foram esclarecidos. ABSURDO A ATENDENTE DESLIGOU O TELEFONE ( LIGAÇÃO DE HOJE AS 16:50 HS    O TOTAL DA MINHA COMPRA DO DIA 04 DE DEZEMBRO FOI DE R$. 373,01","Olá, João, boa tarde!    Inicialmente peço desculpas pelos eventuais transtornos ocasionados, o caso está sendo apurado, igualmente, medidas serão aplicadas com o objetivo de aperfeiçoar a qualidade em nossos serviços.    As informações referentes ao pedido v18572075dgspXXXXX-X1 realizado em 04/12/2022 foram encaminhadas via mensagem interna, peço que verifique e que não finalize a reclamação na plataforma enquanto a resolução não for finalizada para que possamos interagir.    Atenciosamente,    Equipe de Atendimento ao Cliente  Drogaria São Paulo",0, 2,sim...os produtos foram entregues hoje um pouco antes das 18hs.  passei a semana esperando uma respostas de vocês que não aconteceu. Me obrigando a fazer uma compra pela internet na Ultrafarma  para compra dos produtos .  Em momento algum recebi informação por parte de vocês que o pedido seria entregue em duas etapas. A entrega da medicação foi importante na segunda-feira sem duvida.  mas o descaso como restante do pedido foi absurdo por não informar o cliente.
3,Cartão Cencosud GBarbosa,Resolvido,"08/12/2022,",Lauro de Freitas,BA,"Tentei contato na Central de atendimento, mas sem sucesso. Liguei várias vezes, e ao escolher a opção de cancelamento colocam em longa espera. Em uma das vezes cheguei a ficar 20 min na linha. Gostaria de cancelar o cartão em virtude da cobrança de  anuidade.","Olá Diana, tudo bem?   Acabamos de responder a sua solicitação. Por favor, acesse o campo “complemento da reclamação""   e confira a resposta. Lembre-se que estamos à disposição. Agradecemos seu contato e sua   preferência.   Equipe Ouvidoria Cartão Cencosud",0, 5,A empresa apresentou proposta e aceitei
4,99App,Não Resolvido,"08/12/2022,",Curitiba,PR,"Inclui o mesmo endereço como origem e destino por engano. Fiz a alteração a pedido do motorista (o que é correto) e a 99 estimou que o preço seria R$29,00 ao invés do preço padrão, que é R$ 20,00, aproximadamente. Aceitei ficar no carro para não gerar mais prejuízos ao motorista aceitando pagar quase R$ 10,00 de taxa extra (R$ 20,00 da corrida + R$ 10,00 de variação). Ao chegar no destino, sou surpreendido com a cobrança de quase R$ 40,00. Nunca utilizei o atendimento de vocês, mesmo inconformado com as constantes diferenças que normalmente ocorriam. Na primeira vez que fui utilizar, ganhei uma resposta padrão de como a tecnologia justifica qualquer contestação. Enfim. Estou registrando aqui, pois sei do papel importante do PROCON na avaliação de má prestação de serviços. Reclame aqui não surte efeitos. Descadastrei o cartão e utilizarei o concorrente com preço invariável. Menos é mais.","Prezado solicitante,    Em resposta à manifestação aberta no site Consumidor.Gov, pedimos que verifique os detalhes no anexo a esta mensagem.    Permanecemos à disposição para auxiliá-lo em relação a qualquer dúvida através deste e dos nossos canais oficiais de atendimento.    Atenciosamente,  Equipe de Atendimento 99",1, 1,"Se restringiram a justificar a variação de preço. Nem consideram que a estimativa apresentada foi R$ 29,00 mas a cobrança quase R$ 40,00. Tampouco problemas na plataforma que permite a indicação do mesmo endereço na origem e destino.  Não precisa se preocupar em responder 99App, no final, parece que falo comigo mesmo e não com uma empresa preocupada com o cliente. Só deixando registrado que não foi resolvida a causa raiz de todo imbróglio.    Pode mandar novamente a resposta padrão, que essa reclamação será encerrada automaticamente em 20 dias."
5,Pernambucanas Cartões,Resolvido,"08/12/2022,",Belo Horizonte,MG,"Liguei para a central de atendimento da Pernambucanas dia 09/11/2022 para fazer o pedido de cancelamento do valor total da fatura pois tenho um cartão da empresa porém há anos não utilizo e chegou no meu e-mail uma fatura no valor de R$194,76 com vencimento pro dia 11/11/2022 que não foi eu que utilizei. A atendente disse que ia pedir o cancelamento dos valores e gerou o protocolo de atendimento N°XXX.XXX.XXX-XX44 mas informou que teria que pagar a anuidade , respondi que não deveria pagar anuidade pois a fatura só veio por conta de um erro da empresa pois ela mesma me disse que pelo meu cartão ser antigo houve um problema interno, então ela abriu um outro pedido pro cancelamento também da anuidade e pediu pra eu poder retornar a ligação no dia 17/11/2022 pra saber se o pedido de cancelamento da anuidade tinha sido aceito ou não. Recebi um e-mail da Pernambucanas no dia 09/11/2022 com uns termos de conta digital e novo cartão de crédito sendo que durante a ligação tinha pedido o cancelamento do cartão. Liguei novamente para a central e pedi o cancelamento desse novo cartão e dessa conta digital que foi gerado o protocolo de atendimento N°XXX.XXX.XXX-XX28 onde o atendente me informou que essa conta digital e esse novo cartão estavam cancelados. Retornei a ligação para a central dia 17/11/2022 onde fui informada que não foi aceito o pedido e que deveria fazer o pagamento da anuidade e que o restante do valor da fatura ainda estava sendo analisado. Fiz o pagamento da anuidade dia 21/11/2022. No dia 07/12/2022 recebi uma nova fatura no meu e-mail com o valor de R$50,44 com vencimento pro dia 11/12/2022. Liguei novamente para reclamar pois havia pedido o cancelamento do cartão e ainda esta chegando faturas pra pagamento , a atendente gerou o protocolo N°XXX.XXX.XXX-XX6 onde me informou que o pedido de cancelamento dos valores do mês 11 não havia sido feito integralmente pela primeira atendente e que entre esses valores havia 2 cobranças  01/12/2022 ENCARGOS DE FINANCIAMENTO 7,40 e 01/12/2022 IOF ROTATIVO 0,27 que foi gerada pois não paguei a anuidade até o vencimento da fatura, expliquei a moça que não paguei pois estava aguardando uma resposta da própria Pernambucanas pra saber se deveria pagar ou não mas ela disse que mesmo assim deveria ter pago , disse que a primeira atendente não me informou isso, mas ela disse que esses encargos infelizmente teria que pagar, pedi pra ela fazer o cancelamento dos outros valores e ela me informou que fez o pedido mas que deveria fazer o pagamento da fatura até a data do vencimento ou geraria mais encargos pelo atraso do pagamento da fatura, perguntei se pagasse como esse valor ia me ser ressarcido pois essas compras eu desconheço e ela disse que pelo cartão ter sido cancelado não tem um meio desse valor ser retornado pra mim , perguntei a ela porque o número de cartão da fatura esta diferente do meu cartão físico e ela me disse que a cobrança é feita pelo meu CPF e que o número do cartão que vem na fatura não é importante.","Olá Samantha,     Recebemos a sua manifestação e informamos que o cartão se encontra cancelado definitivo no sistema, sendo assim não consta cartões ativos.   Referente ao valor em aberto, verificamos que as compras foram contestadas e o valor já foi cancelado, o valor dos encargos cobrados foram estornados no sistema, sendo assim não há valores pendentes ou restrição em seu nome.    Pedimos desculpas por quaisquer transtornos,    Estamos à disposição!    Atenciosamente,   Tiago  Pernambucanas/Mídias Sociais  Pernambucanas NA LOJA, NO APP, NO SITE. EM FAMÍLIA      Sempre que precisar falar conosco, utilize os nossos canais oficiais:  WhatsApp (11) XXXXX-X441 - Chat do aplicativo ""Cartão Pernambucanas""  Central de Atendimento - (11) XXXXX-X441",1, 5,<não há comentários do consumidor>
6,Rappi,Resolvido,"08/12/2022,",Brasília,DF,"Tive uma série de problemas com a empresa, que se nega a resolver.  1) Fiz uma compra no Carrefour Hiper Asa Norte no dia 3 de dezembro de 2022, que incluía um chocolate Lindt e meia dúzia de leites carrefour integral, pelo aplicativo da Rappi.  Entretanto, embora tenham sido cobrados, o chocolate nunca veio, como verificável pela nota fiscal que ele nem foi adquirido, e os leites, além de terem sido cobrados de mim por 3,29 e não 2,89 como na nota fiscal, vieram com apenas 2 dias de validade, vencendo no dia 6 de dezembro de 2022, sem que isso fosse me informado.  2) No dia 5 de novembro, pedi 2kg de tomate cereja na loja Big Box 408 norte, porém, vieram somente duas caixinhas de 180g. Tentei de todas as formas solicitar reembolso do que faltou e a rappi cancelou meu contato pelo whatsapp e impediu novas manifestações.  Eles dizem que ""não será possível realizar nenhuma compensação pelo pedido, seguindo nossos termos e condições do uso do app."" Também foi dito que minha ""conta encontra-se bloqueada pelo o não cumprimento dos nossos termos e condições do aplicativo"", mas se recusam a dizer que termo ou condição eu não cumpri, dizendo que não podem dar mais informações a esse respeito, e ao mesmo tempo minha conta não está bloqueada, já que continuo fazendo compras, o que significa que apenas cancelaram o atendimento e resolução de qualquer problema que eu venha a ter.","Prezada,     Lamento que a senhora tenha passado por essa experiência, por isso peço desculpas pelo ocorrido, dei o meu melhor para resolver o seu problema.    Verifiquei que no pedido do dia 05/11 foi cobrado R$17,96 pelo item Tomate Grape Kg, portanto reembolsamos o valor proporcional das gramas que faltaram em seu pedido, estornamos um valor de R$10,78.    Referente a compra do dia 03/12, devolvemos o valor total de R$34,73 referente aos itens Leite Integral Com Tampa Carrefour e o Lindt Chocolate Suiço Milk.    Os reembolsos foram efetuados no mesmo método de pagamento usados nas compras, o prazo para que veja o valor disponível na fatura pode levar até 15 dias úteis, mas não precisa se preocupar, pois esse é apenas um prazo bancário e o valor pode cair em sua conta antes do período informado. E se sua fatura atual estiver fechada, verá na próxima. Se tiver qualquer inconveniente, sugerimos contatar diretamente o banco e informar o número de transação.    Id de Transação : 7n4rk11b  Id de Transação : 0gv45s5a    Para que se sinta mais segura, anexamos os comprovantes de estornos dos valores. Para visualizar o comprovante, basta selecionar o botão “anexo” ao lado do botão “detalhes”.     Se surgir qualquer dúvida, estamos à disposição.   Atenciosamente, Time Rappi.",0, 5,Agora resolveram.
7,Samsung,Não Resolvido,"08/12/2022,",Santo André,SP,"Olá.    Há mais ou menos dois meses o celular começou a apresentar o seguinte defeito: As vezes ao colocar o carregador, aparecia a mensagem de que o celular estava molhado e teria que esperar o celular carregar para conseguir carregar o aparelho. Isso começou a ocorrer com uma frequência alta onde as vezes o celular aceitava o carregador (original da Samsung) e as vezes não aceitava, dando a mensagem de erro.    Diversas vezes liguei para o suporte da Samsung para informar e coletar orientações de como proceder, uma vez que tenho garantia completa até 07/05/2023. Nas ligações (as quais tenho as gravações) está claro o problema que estou relatando ao atendente, está claro que estou usando carregador original e está claro as orientações que recebi e fiz. Após diversas ligações, em uma das orientações o celular simplesmente queimou. Com isso, levei o aparelho na assistência técnica autorizada da Samsung (Rua das Bandeiras, 155 - Santo André) e no dia seguinte recebi o orçamento no valor de BRL 3.750,00 reais e a informação de que a Samsung não aprovou meu reparo na garantia devido a mal uso do produto.    De imediato fui pessoalmente na assistência técnica entender o motivo e tive apenas informações técnicas as quais não me interessam. O que me interessa é que o produto está em GARANTIA TOTAL e ao seguir orientações passadas pela própria fabricante o aparelho queimou. Contatei o advogado que me informou que a Samsung tem essa prática de induzir o mal uso do produto sempre que o reparo tem um custo alto.    Estou em contato com advogados e diretamente com o Celso Russomano para me auxiliar no processo de defesa do consumidor, porém, prefiro que a Samsung simplesmente honre com a garantia e repare o aparelho conforme garantia.    Recebo diversos retornos da Samsung somente enfatizando que eu fiz mal uso do aparelho e não vão aprovar.    Ao pesquisar, localizei um cliente que avaliou a assistência técnica da seguinte forma: ""Atendimento muito bom. Fiquei surpreso. Tive até troca da peça sem custo mesmo com produto fora da garantia"". Ou seja, o meu aparelho dentro da garantia eles querem insinuar mal uso pelo valor das peças, ou por que? E por qual motivo trocaram as peças de outro cliente fora da garantia?    Estou me sentindo totalmente lesado por uma empresa não cumprir com a garantia e ficar insinuando que o aparelho foi danificado por mal uso. Sendo meu único aparelho, o qual estou sem há aprox. 10 dias e não sei nem quando a Samsung vai resolver o meu problema.    Protocolos que abri com a Samsung: 1211881831, 1211883405, 1211895000, 1211965786, 1212039803, 1212058931, 1212058963, 1212117621, 1211882166, 1211894157, 1212039526    Se necessário abrirei mi reclamações até que a empresa se posicione.","Caro Cliente,    Informamos que os esclarecimentos acerca da sua demanda foram prestados.    Sugerimos, acompanhamento de seu histórico no protocolo, no qual detalhamos a sequência das providências adotadas.    Desde já colocamo-nos à inteira disposição para quaisquer outros esclarecimentos por ventura necessários.      Cordialmente,  Samsung Eletrônica da Amazônia",1, 1,Reabrir este ticket imediatamente pois o retorno não foi satisfatório.
8,Latam Airlines (Tam),Resolvido,"08/12/2022,",Paracatu,MG,"No dia 06/12/2022 entrei em contato com a Latam pelo nº XXXXX-X700 ficando longo lapso temporal com o atendimento com os colaboradores da empresa e todos apresentando dificuldade em resolver a questão apresentada por mim consumidor.  No dia 05/12/2022 fui diagnosticado com COVID e apresentando a Latam a impossibilidade de viajar com eles no dia 12/12/2022 em questão de segurança de minha vida e saúde como também das demais pessoas, principalmente durante o voo que todos os passageiros ficam muito próximos uns aos outros e em especial que o uso de máscara de proteção nariz e boca quase não estão sendo usados pelos usuários do devido meio de locomoção.  Apresentei todos esses fatores aos colaboradores da Latam e simplesmente os dois primeiros atendimentos cancelaram (desligaram) a chamada em curso e eu tive que retornar com outra ligação questionando (questionamento do por que de tal conduta - na 3º chamada) o porquê do encerramento da chamada e não me repassando os devidos protocolos de atendimento.  Na 3º chamada a colaboradora disse que ia abrir protocolo e em questão de 48h a partir da chamada a Latam ia entrar em contato comigo via comunicação telefônica ou e-mail, em que até o presente momento não fizeram qualquer comunicação e não dando um resultado justo.  Liguei na presente data (08/12/22) e questionando novamente tal situação, reapresentando os fatos já explicados e a atendente disse que precisa de um prazo de mais 3 dias ou 5 dias e em caso de não resposta eu tenho que entrar novamente em contato com a Latam buscando um meio para tanto.  Afirmei na presente data (08/12/22) que estou com enfermidade, com respiração profunda e tosse seca e preciso descansar, e ainda com todos esses fatores tenho ansiedade e estou fazendo tratamento psiquiátrico com uso de remédio controlado e preciso de uma solução o quanto antes por parte da Latam.  A colaboradora da Latam falou que não pode resolver por si mesma a questão e também disse que não tinha supervisor no momento e nem outro responsável para a questão e que eu consumidor tenho que aguardar.  Já aguardei o prazo de 48h do primeiro atendimento e fui informado que tenho que aguardar novamente, ou seja, acarretando todo o desconforto moral, psicológico e fisiológico.  O atendimento Latam tem que ser firme nas respostas e não acarretar mais ônus ao consumidor.  Pedi para resolver a questão o quanto antes e afirmar que tenho que aguardar e aguardar, pois é a política da empresa e o treinamento que é repassado aos atendentes Latam.  Assim, expliquei novamente a questão, mas a resposta foi a mesma que eu tenho que aguardar e não há nada que pode ser feito se eu não aguardar e caso não entrem em contato comigo, eu tenho que novamente ligar para eles.  Expliquei que tal situação caracteriza perda do tempo útil, mais que mero aborrecimento e podendo caracterizar dano moral, mas o atendimento assim disse: aguarde mais esse prazo que vão entrar em contato e se não entrarem você entra em contato.","Prezado(a) Cliente,    Informamos que providenciamos os devidos esclarecimentos sobre a sua solicitação. Para mais informações, acesse a resposta na interação anterior.    Atenciosamente,    Atendimento ao Cliente  LATAM Airlines    ###N;I;T;D;P;1400/5105###",0, 2,O atendimento do Carlos Lopes foi nota 10.
9,MaxMilhas,Resolvido,"08/12/2022,",Mossoró,RN,"Após colocar a venda milhas smiles na max milhas, a empresa efetuou duas vendas sendo a primeira no dia 29/11 e a segunda no dia 05/12. Hoje fui verificar o andamento do que faltava vender e apareceu “em processo de venda”. As 11:03 da manhã recebi um e-mail da smiles dizendo que uma emissão de 113.200 milhas tinha sido feita para um passageiro com nome de Thiago Lemos. A MaxMilhas não me mandou o e-mail comunicando a venda porém imediatamente atualizou o saldo de milhas restantes na conta (procedimento padrão quando eles vendem as milhas). Eles não registraram a venda, não consegui atendimento por ligação nem por whatsapp, e agora estou correndo o risco de perder R$ 1.981 caso a empresa não registre a venda na minha conta. Procurei a empresa Smiles pra ver a possiblidade de cancelar a passagem e receber meu estorno em pontos e falaram que pra isso eu teria que pagar R$ 800 de multa.","Olá Clélia,   A compra foi realizada pelo passageiro no dia 07/12/2022, o processo de conclusão da emissão pode demorar um pouco até que todas as etapas sejam verificadas. A notificação sobre a venda ocorreu em 08/12/2022 e o pagamento pela venda dos 113.200 pontos do programa SMILES estão programados para ocorrer em até 45 dias, para a conta corrente registrada no cadastro da MaxMilhas.   Pedimos que mantenha sempre seus dados bancários atualizados no sistema da MaxMilhas e que aguarde o prazo informado.  Em anexo consta a carta resposta referente às tratativas presentes na reclamação.  Certos de sua compreensão,   Equipe MaxMilhas.",1, 5,"Apesar de não conseguir atendimento por ligação nem WhatsApp, após a reclamação foi resolvido rápido"
